u_applications_impacted,dv_u_business_segments,dv_u_alert_generated_from_monitoring,u_root_cause_owner,dv_priority,dv_category,dv_contact_type,dv_short_description,dv_company,dv_close_code,dv_u_incident_cause_code,u_root_cause_breakdown,u_summary_impact_root_summary,u_alert_to_who,clean_date,year,application_category
.,BSG,No Known Alert,FIS,Priority 5,Application,Self-service,Open bit 9 for CH24001539884,FIS,Solved (Permanently),Change induced,change window,.,Unknown,2024-03-17 15:33:48,2024,Other
Unspecified Applications,BSG,Other,FIS,Priority 5,Monitoring,Self-service,IST Switch /  Intuit Canada and US Transactions are mismatching in both region DBs ,0,Solved (workaround),Data issue,performance,A Database mismatch due to an incorrect password in a referenced file caused US and Canadian files to need to be regenerated and resubmitted. No SLA miss. ,IST Transaction Processing ,2024-04-25 01:48:02,2024,Unknown
IST,BSG,Other,FIS,Priority 3,Monitoring,Self-service,IST/CHEVRON reporting degraded approval rates ,FIS,Solved (Permanently),Process issue,certificate,"Chevron experienced degraded approval rates for East and West regions on the IST platform due to an expired certificate. The certificate was successfully updated, and transactions were confirmed processing as expected. A problem ticket has been opened to track follow-up tasks.",IST Team Service Delivery ,2024-04-27 14:15:58,2024,Other
IST - Settlement Delay,BSG,No Known Alert,FIS,Priority 3,Monitoring,Self-service,IST Switch / Intuit - Settlement delay,FIS,Solved (workaround),Data issue,unknown,"Intuit experienced a one-day settlement delay for a subset of transactions on the IST platform. Approximately 5,871 transactions totaling 5 million USD were affected. Root cause is under investigation.",Unknown,2024-05-10 03:01:02,2024,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Monitoring,Alert,IST/ Application currently single sided after maintenance ,FIS,Solved (workaround),Application issue,change deployment,Site records in West region were corrupted with wrong data. Support team updated the site record manually to the correct information (All Caps for DB name) to bring the application back in operation. Root cause was attributed to a change.,Unknown,2024-05-10 16:25:26,2024,Unknown
MCDP - Debit Card Processing ,BSG,No Known Alert,FIS,Priority 4,Database,Service portal,MCDP / Card system settings for CVC2,FIS,Solved (Permanently),Transmission failure,external,MCDP - Debit Card Processing  clients are experiencing declines for a subset of card not present chargebacks for Mastercard debit processing. Approximately 596 transactions for a value of $104K affected. The root cause is under investigation.,Unknown,2024-05-13 05:37:40,2024,Cards
"eOrginial, FLO, Horizon Deposit Origination",BSG,No Known Alert,fis vendor,Priority 5,Application,Service portal,Horizon and FLO Clients were unable to sign documents via eOriginal.,FIS,Solved by Client/Vendor,Configuration issue,configuration,Some Horizon and FLO Clients were unable to sign documents via eOriginal due to vendor change.,Unknown,2024-05-13 19:53:35,2024,Core Banking
FedNow App server,BSG,Other,FIS,Priority 3,Application,Self-service,FedNow Managed Services /  App server is unavailable due to server CPU issue,FIS,Solved (Permanently),Hardware failure,performance,"At 13:29 CDT, Splunk monitoring alerts indicated that the application server for FedNow Managed Services was unavailable. Five transactions failed for three banks. The teams rebooted the server PDC1RESPFNMWS01 to resolve the issue. The root cause has been attributed due to the excessive CPU usage observed on the application server. ",Application Support Team received the alerts.,2024-05-14 20:37:24,2024,Payments
Unspecified Applications,BSG,Other,FIS,Priority 5,Monitoring,Self-service,WP Alert Center shows Loss communications,FIS,Solved (workaround),Application issue,configuration,Alert Center shows Loss communications @0754EST. Restarted app server. EOI declared @0846EST.,Connex Tool Support,2024-05-21 14:21:35,2024,Unknown
Code Connect,BSG,Other,external,Priority 4,Application,Self-service,"index is not found or not effective for some time, which results duplicate record insertion ",FIS,Solved (Permanently),Configuration issue,external,"Discover Bank made a change on their side that caused an abnormal amount of API calls to hit the CodeConnect systems. CodeConnect database locked and Capital One experienced approximately 10% token failures.  Discover Bank rolled back the change which caused duplicate rows to be added to the index, to resolve the issue.","CodeConnect received alerts as expected, no issues with monitoring. ",2024-05-22 20:46:14,2024,Integration
PaymentsOne Credit (P1C),BSG,No Known Alert,FIS,Priority 2,Application,agent_workspace,Payments One Credit / Statement due date issue ,FIS,Solved (Permanently),Coding/script,change deployment,PaymentsOne credit statements were issued to some cardholders with the incorrect due date of 01-Jun-2024 instead of 01-Jul-2024. All recovery actions processed overnight. Root cause is related to a code change that occurred on 30-May-2024.  ,Unknown,2024-06-07 14:00:37,2024,Payments
Unspecified Applications,BSG,Other,external,Priority 4,Server,Self-service,"Mercury / Single client, U.P. Employees Credit Union unable to connect to remote desktop",FIS,Solved (Permanently),Human error,external,"A single client, U.P. Employees Credit Union client unable to connect to a remote desktop due to the client end-user accidentally shut down the server. ",Windows Virtual Cloud Support,2023-11-18 00:26:33,2023,Unknown
eZCard Retail,BSG,Other,FIS,Priority 3,Application,Self-service,eZCard Retail / Target users are experiencing latency ,FIS,Solved (Permanently),Application issue,performance,Users experienced latency when logging into eZCard retail. Root cause is under investigation.,Application team,2023-12-02 05:47:42,2023,Other
CardPro Connect,BSG,No Known Alert,FIS,Priority 3,Network,Self-service,CardPro Connect Site not Reachable on LTC1WCPSVHWB01.,FIS,Solved (Permanently),Application issue,configuration,Users experienced CardPro Connect Application failures due to expired access tokens.,Unknown,2024-01-05 22:20:31,2024,Cards
Digital One,BSG,Other,FIS,Priority 2,Application,Alert,Digital One - Login requests were intermittently failing,FIS,Solved (Permanently),Access issue,configuration,Digital One login request failed due to human error in inadvertently blocking internal IP addresses.,The application support team did identify 400 messages in their tools triggering the incident call.  ,2024-01-06 00:16:33,2024,Digital
Unspecified Applications,BSG,Other,FIS,Priority 5,Application,Self-service,Canton / intermittent slowness is being observed in applications.,FIS,Solved (Permanently),Connectivity issue,vendor circuit,"The root cause was the Verizon WEE04 circuit's down (IN24013055691). Applications in Canton were experiencing slowness when using them. FIS Technical teams opened ECR (CH24001521193) to resolve the issue and failed over to the ATT circuit. After ping testing, the issue was declared resolved.",Dyna Trace,2024-02-16 19:08:10,2024,Unknown
"D1 Business, CeB, D1 Flex, Commercial Capture Xpress (CCX) and FIS Xpress Deposit (FXD).",BSG,No Known Alert,fis vendor,Priority 3,Application,Self-service,Several banks reporting users can't login to online banking. Not receiving OTP via SMS.,FIS,Solved by Client/Vendor,Application issue,external,"Some clients experienced delays or did not receive SMS One Time Password (OTP) preventing clients from being able to access the D1 Business, CeB, and D1 Flex applications. This was due to an issue at a third-party carrier (Prove). Prove provided a workaround that was tested and implemented to remediate the issue. Follow-up will be tracked in a Problem ticket.","Client reported, ",2024-02-28 22:33:03,2024,Digital
"Online banking application, Consumer eBanking (CeB)",BSG,No Known Alert,FIS,Priority 3,Application,agent_workspace,CeB - Users were unable to login to online banking application,FIS,Solved (Permanently),Change induced,change deployment,"On 09-June-2024 at 06:00 CT, clients reported that they were experiencing an error ""we are unable to complete your request"" and being directed to accept cookies, while trying to login to the Online Banking application. EIM was engaged on the call with other support teams. IBS team confirmed that the issue was fallout from the Product release implemented over the weekend via CH23001481569. Support raised an ECR (CH24001610621) to roll back the change at 23:30 CT on 12-Jun-2024 to mitigate the issue. Internal validation was completed at 02:00 CT on 13-Jun-2024 and End of Impact was declared.",Unknown,2024-06-13 15:28:54,2024,Digital
Unspecified Applications,BSG,Spectrum,FIS,Priority 5,Application,Email,Zelle/failures in OFAC,FIS,Solved (workaround),Undetermined,unknown,"Zelle/failures in OFAC. Observed about 25% add payment failures in Zelle app. Few servers were not accessible for Billpay app. 
The impacted was mitigated by failing over the app's to BDOC DC from PHX Data Center. Issue was observed between 6/13 - 22:11 and 23:18 CT.  
A P ticket will be raised to identify the root cause to work along with Juniper TAC Case :Number 2024-0614-181178.",App Support,2024-06-14 08:29:06,2024,Unknown
Horizon XE,BSG,Other,FIS,Priority 3,Application,Self-service,Horizon XE / EP1 is spiking and causing latency for XE clients,FIS,Solved (workaround),Hardware failure,hardware,Digital channels and branch access (afterhours)  were down and\or latent for approximately 30 minutes. FIS and IBM determined  host hardware issues were a contributor and performed emergency maintenance to migrate  from Power9 upgrade to Power 10 server for HZNEP1 to resolve the issue. Technical teams brought back the Horizon XE application online. ,Monitoring team.,2024-06-26 10:14:43,2024,Core Banking
"Digital One Business (D1B), MOVEit, Digital One Flex, ImageCentre, TrustDesk, Cash Express,App (Bank of Montreal), Endpoint Exchange  (Viewpointe)",BSG,Other,FIS,Priority 3,Application,Service portal,MOVEit file movement delays ,FIS,Solved (Permanently),Transmission failure,unknown,"MOVEit file transfer caused delays in sending outgoing files for ImageCentre, Digital One Flex, TrustDesk, Cash Express and Digital One Business. ACH Processing SLA for Business eBanking (BeB) was missed, resulting in a delay of same-day funding to clients. IIS services were recycled in accordance with the vendor's recommendation, and errors ceased; file transfer resumed normal processing. Backlogs for Digital One Flex, ImageCentre, TrustDesk, Cash Express were cleared, and all Digital One Business ACH upload files and ACH cuts were transmitted to MOVEit on 28-Jun-2024. Issue has been escalated to the vendor, Progress, for further investigation into root cause.",D1B support received alerts.,2024-07-01 17:55:58,2024,Digital
Horizon XE,BSG,Other,FIS,Priority 3,Application,Email,Horizon XE / Slowness on Mainframe LPAR CP2,FIS,Solved (workaround),Capacity issue,performance,"Horizon XE users encountered latency within the application due to an LPAR lock, resulting in wait times ranging from three to twelve seconds. The root cause is currently under investigation, and a ticket (TS016625438) has been opened with IBM for further analysis.",Horizon support teams,2024-07-01 18:13:54,2024,Core Banking
"BillPay, Zelle, CEB Flex, MoveIT, Authnet, BeB",BSG,Other,FIS,Priority 3,Application,Email,Impact to BDOC/PHX/LRK applications due to Windows Servers Time sync issue ,FIS,Solved (Permanently),Configuration issue,configuration,"Domain Controllers in PHX, BDOC, LRK Data Centers experienced a Windows Server Time issue. The EDS team pointed the Domain Controllers to a real time source and refreshed all servers to pick up the new IP address. Root cause is attributed to a bad timesource IP on the rotation located in Vorhees Data Center.",It want to Sunil Bedi team,2024-07-19 10:49:17,2024,Digital
Zelle Mobile - OTP,BSG,Other,FIS,Priority 3,Application,Email,Zelle Mobile OTP not generating,FIS,Solved (workaround),Undetermined,unknown,"OTP (One-Time-PIN) requests were failing for new users on the Zelle Mobile application. Zelle users were unable to enroll new mobile numbers due to them not receiving OTP's. The JVMs were restarted, and an outlying inactive session was closed allowing the queue to drain. A problem ticket will be opened to track root cause analysis.",Splunk Alerts - EPP Service Delivery team,2024-03-23 17:59:13,2024,Digital
